Produktname,Kapazitaet,Preis_EUR,RAM_Typ,CAS_Latency
Samsung DIMM,32GB,76.01,DDR4,CL22-22-22
Kingston FURY Renegade schwarz/silber DIMM Kit,32GB,210.09,DDR5,CL38-48-48
Crucial SO-DIMM Kit,96GB,190.88,DDR5,CL46-45-45
Kingston FURY Beast RGB schwarz DIMM Kit,32GB,125.51,DDR5,CL30-36-36
Kingston FURY Beast RGB weiß DIMM Kit,32GB,124.21,DDR5,CL30-36-36
G.Skill Aegis DIMM Kit,32GB,51.9,DDR4,CL16-18-18-38
Kingston FURY Impact SO-DIMM Kit,32GB,83.88,DDR5,CL40-40-40
Kingston Server Premier DIMM,32GB,139.49,DDR4,CL22-22-22
G.Skill Trident Z5 NEO RGB schwarz DIMM Kit,64GB,439.39,DDR5,CL26-36-36-96
Corsair Vengeance RGB schwarz DIMM Kit,64GB,248.01,DDR5,CL32-40-40-84
Kingston FURY Beast schwarz DIMM Kit,64GB,194.33,DDR5,CL36-38-38
Kingston FURY Beast RGB DIMM,16GB,45.23,DDR4,CL16-20-20
TeamGroup T-Create Expert schwarz DIMM Kit,32GB,99.05,DDR5,CL30-36-36-76
Corsair Dominator Titanium RGB weiß DIMM Kit,64GB,298.6,DDR5,CL30-36-36-76
Crucial Pro Overclocking DIMM Kit,32GB,87.72,DDR5,CL36-38-38-80
Corsair Vengeance RGB schwarz DIMM Kit,32GB,120.91,DDR5,CL30-36-36-76
Kingston FURY Beast schwarz DIMM Kit,32GB,106.79,DDR5,CL30-36-36
G.Skill Trident Z5 NEO RGB schwarz DIMM Kit,32GB,122.9,DDR5,CL30-38-38-96
Kingston FURY Impact SO-DIMM Kit,64GB,155.78,DDR5,CL40-40-40
Kingston FURY Beast schwarz DIMM Kit,64GB,212.9,DDR5,CL30-36-36
Patriot Viper VENOM DIMM Kit,32GB,93.48,DDR5,CL30-40-40-76
Corsair Vengeance RGB grau DIMM Kit,32GB,120.91,DDR5,CL30-36-36-76
G.Skill Trident Z5 NEO RGB schwarz DIMM Kit,64GB,225.18,DDR5,CL30-40-40-96
Corsair Vengeance grau DIMM Kit,32GB,110.82,DDR5,CL30-36-36-76
Kingston FURY Renegade Pro RDIMM,32GB,178.34,DDR5,CL36-38-38
Kingston FURY Beast DIMM,16GB,31.16,DDR4,CL16-20-20
Kingston FURY Renegade RGB schwarz/silber DIMM Kit,32GB,138.72,DDR5,CL32-39-39
Kingston Server Premier DIMM,16GB,61.67,DDR4,CL22-22-22
Crucial SO-DIMM Kit,32GB,75.32,DDR5,CL46-45-45
G.Skill Flare X5 schwarz DIMM Kit,32GB,125.29,DDR5,CL28-36-36-96
Samsung DIMM,32GB,76.01,DDR4,CL22-22-22
Kingston FURY Renegade schwarz/silber DIMM Kit,32GB,210.09,DDR5,CL38-48-48
Crucial SO-DIMM Kit,96GB,190.88,DDR5,CL46-45-45
Kingston FURY Beast RGB schwarz DIMM Kit,32GB,125.51,DDR5,CL30-36-36
Kingston FURY Beast RGB weiß DIMM Kit,32GB,124.21,DDR5,CL30-36-36
G.Skill Aegis DIMM Kit,32GB,51.9,DDR4,CL16-18-18-38
Kingston FURY Impact SO-DIMM Kit,32GB,83.88,DDR5,CL40-40-40
Kingston Server Premier DIMM,32GB,139.49,DDR4,CL22-22-22
G.Skill Trident Z5 NEO RGB schwarz DIMM Kit,64GB,439.39,DDR5,CL26-36-36-96
Corsair Vengeance RGB schwarz DIMM Kit,64GB,248.01,DDR5,CL32-40-40-84
Kingston FURY Beast schwarz DIMM Kit,64GB,194.33,DDR5,CL36-38-38
Kingston FURY Beast RGB DIMM,16GB,45.23,DDR4,CL16-20-20
TeamGroup T-Create Expert schwarz DIMM Kit,32GB,99.05,DDR5,CL30-36-36-76
Corsair Dominator Titanium RGB weiß DIMM Kit,64GB,298.6,DDR5,CL30-36-36-76
Crucial Pro Overclocking DIMM Kit,32GB,87.72,DDR5,CL36-38-38-80
Corsair Vengeance RGB schwarz DIMM Kit,32GB,120.91,DDR5,CL30-36-36-76
Kingston FURY Beast schwarz DIMM Kit,32GB,106.79,DDR5,CL30-36-36
G.Skill Trident Z5 NEO RGB schwarz DIMM Kit,32GB,122.9,DDR5,CL30-38-38-96
Kingston FURY Impact SO-DIMM Kit,64GB,155.78,DDR5,CL40-40-40
Kingston FURY Beast schwarz DIMM Kit,64GB,212.9,DDR5,CL30-36-36
Patriot Viper VENOM DIMM Kit,32GB,93.48,DDR5,CL30-40-40-76
Corsair Vengeance RGB grau DIMM Kit,32GB,120.91,DDR5,CL30-36-36-76
G.Skill Trident Z5 NEO RGB schwarz DIMM Kit,64GB,225.18,DDR5,CL30-40-40-96
Corsair Vengeance grau DIMM Kit,32GB,110.82,DDR5,CL30-36-36-76
Kingston FURY Renegade Pro RDIMM,32GB,178.34,DDR5,CL36-38-38
Kingston FURY Beast DIMM,16GB,31.16,DDR4,CL16-20-20
Kingston FURY Renegade RGB schwarz/silber DIMM Kit,32GB,138.72,DDR5,CL32-39-39
Kingston Server Premier DIMM,16GB,61.67,DDR4,CL22-22-22
Crucial SO-DIMM Kit,32GB,75.32,DDR5,CL46-45-45
G.Skill Flare X5 schwarz DIMM Kit,32GB,125.29,DDR5,CL28-36-36-96
Samsung DIMM,32GB,76.01,DDR4,CL22-22-22
Kingston FURY Renegade schwarz/silber DIMM Kit,32GB,210.09,DDR5,CL38-48-48
Crucial SO-DIMM Kit,96GB,190.88,DDR5,CL46-45-45
Kingston FURY Beast RGB schwarz DIMM Kit,32GB,125.51,DDR5,CL30-36-36
Kingston FURY Beast RGB weiß DIMM Kit,32GB,124.21,DDR5,CL30-36-36
G.Skill Aegis DIMM Kit,32GB,51.9,DDR4,CL16-18-18-38
Kingston FURY Impact SO-DIMM Kit,32GB,83.88,DDR5,CL40-40-40
Kingston Server Premier DIMM,32GB,139.49,DDR4,CL22-22-22
G.Skill Trident Z5 NEO RGB schwarz DIMM Kit,64GB,439.39,DDR5,CL26-36-36-96
Corsair Vengeance RGB schwarz DIMM Kit,64GB,248.01,DDR5,CL32-40-40-84
Kingston FURY Beast schwarz DIMM Kit,64GB,194.33,DDR5,CL36-38-38
Kingston FURY Beast RGB DIMM,16GB,45.23,DDR4,CL16-20-20
TeamGroup T-Create Expert schwarz DIMM Kit,32GB,99.05,DDR5,CL30-36-36-76
Corsair Dominator Titanium RGB weiß DIMM Kit,64GB,298.6,DDR5,CL30-36-36-76
Crucial Pro Overclocking DIMM Kit,32GB,87.72,DDR5,CL36-38-38-80
Corsair Vengeance RGB schwarz DIMM Kit,32GB,120.91,DDR5,CL30-36-36-76
Kingston FURY Beast schwarz DIMM Kit,32GB,106.79,DDR5,CL30-36-36
G.Skill Trident Z5 NEO RGB schwarz DIMM Kit,32GB,122.9,DDR5,CL30-38-38-96
Kingston FURY Impact SO-DIMM Kit,64GB,155.78,DDR5,CL40-40-40
Kingston FURY Beast schwarz DIMM Kit,64GB,212.9,DDR5,CL30-36-36
Patriot Viper VENOM DIMM Kit,32GB,93.48,DDR5,CL30-40-40-76
Corsair Vengeance RGB grau DIMM Kit,32GB,120.91,DDR5,CL30-36-36-76
G.Skill Trident Z5 NEO RGB schwarz DIMM Kit,64GB,225.18,DDR5,CL30-40-40-96
Corsair Vengeance grau DIMM Kit,32GB,110.82,DDR5,CL30-36-36-76
Kingston FURY Renegade Pro RDIMM,32GB,178.34,DDR5,CL36-38-38
Kingston FURY Beast DIMM,16GB,31.16,DDR4,CL16-20-20
Kingston FURY Renegade RGB schwarz/silber DIMM Kit,32GB,138.72,DDR5,CL32-39-39
Kingston Server Premier DIMM,16GB,61.67,DDR4,CL22-22-22
Crucial SO-DIMM Kit,32GB,75.32,DDR5,CL46-45-45
G.Skill Flare X5 schwarz DIMM Kit,32GB,125.29,DDR5,CL28-36-36-96
Samsung DIMM,32GB,76.01,DDR4,CL22-22-22
Kingston FURY Renegade schwarz/silber DIMM Kit,32GB,210.09,DDR5,CL38-48-48
Crucial SO-DIMM Kit,96GB,190.88,DDR5,CL46-45-45
Kingston FURY Beast RGB schwarz DIMM Kit,32GB,125.51,DDR5,CL30-36-36
Kingston FURY Beast RGB weiß DIMM Kit,32GB,124.21,DDR5,CL30-36-36
G.Skill Aegis DIMM Kit,32GB,51.9,DDR4,CL16-18-18-38
Kingston FURY Impact SO-DIMM Kit,32GB,83.88,DDR5,CL40-40-40
Kingston Server Premier DIMM,32GB,139.49,DDR4,CL22-22-22
G.Skill Trident Z5 NEO RGB schwarz DIMM Kit,64GB,439.39,DDR5,CL26-36-36-96
Corsair Vengeance RGB schwarz DIMM Kit,64GB,248.01,DDR5,CL32-40-40-84
Kingston FURY Beast schwarz DIMM Kit,64GB,194.33,DDR5,CL36-38-38
Kingston FURY Beast RGB DIMM,16GB,45.23,DDR4,CL16-20-20
TeamGroup T-Create Expert schwarz DIMM Kit,32GB,99.05,DDR5,CL30-36-36-76
Corsair Dominator Titanium RGB weiß DIMM Kit,64GB,298.6,DDR5,CL30-36-36-76
Crucial Pro Overclocking DIMM Kit,32GB,87.72,DDR5,CL36-38-38-80
Corsair Vengeance RGB schwarz DIMM Kit,32GB,120.91,DDR5,CL30-36-36-76
Kingston FURY Beast schwarz DIMM Kit,32GB,106.79,DDR5,CL30-36-36
G.Skill Trident Z5 NEO RGB schwarz DIMM Kit,32GB,122.9,DDR5,CL30-38-38-96
Kingston FURY Impact SO-DIMM Kit,64GB,155.78,DDR5,CL40-40-40
Kingston FURY Beast schwarz DIMM Kit,64GB,212.9,DDR5,CL30-36-36
Patriot Viper VENOM DIMM Kit,32GB,93.48,DDR5,CL30-40-40-76
Corsair Vengeance RGB grau DIMM Kit,32GB,120.91,DDR5,CL30-36-36-76
G.Skill Trident Z5 NEO RGB schwarz DIMM Kit,64GB,225.18,DDR5,CL30-40-40-96
Corsair Vengeance grau DIMM Kit,32GB,110.82,DDR5,CL30-36-36-76
Kingston FURY Renegade Pro RDIMM,32GB,178.34,DDR5,CL36-38-38
Kingston FURY Beast DIMM,16GB,31.16,DDR4,CL16-20-20
Kingston FURY Renegade RGB schwarz/silber DIMM Kit,32GB,138.72,DDR5,CL32-39-39
Kingston Server Premier DIMM,16GB,61.67,DDR4,CL22-22-22
Crucial SO-DIMM Kit,32GB,75.32,DDR5,CL46-45-45
G.Skill Flare X5 schwarz DIMM Kit,32GB,125.29,DDR5,CL28-36-36-96
Samsung DIMM,32GB,76.01,DDR4,CL22-22-22
Kingston FURY Renegade schwarz/silber DIMM Kit,32GB,210.09,DDR5,CL38-48-48
Crucial SO-DIMM Kit,96GB,190.88,DDR5,CL46-45-45
Kingston FURY Beast RGB schwarz DIMM Kit,32GB,125.51,DDR5,CL30-36-36
Kingston FURY Beast RGB weiß DIMM Kit,32GB,124.21,DDR5,CL30-36-36
G.Skill Aegis DIMM Kit,32GB,51.9,DDR4,CL16-18-18-38
Kingston FURY Impact SO-DIMM Kit,32GB,83.88,DDR5,CL40-40-40
Kingston Server Premier DIMM,32GB,139.49,DDR4,CL22-22-22
G.Skill Trident Z5 NEO RGB schwarz DIMM Kit,64GB,439.39,DDR5,CL26-36-36-96
Corsair Vengeance RGB schwarz DIMM Kit,64GB,248.01,DDR5,CL32-40-40-84
Kingston FURY Beast schwarz DIMM Kit,64GB,194.33,DDR5,CL36-38-38
Kingston FURY Beast RGB DIMM,16GB,45.23,DDR4,CL16-20-20
TeamGroup T-Create Expert schwarz DIMM Kit,32GB,99.05,DDR5,CL30-36-36-76
Corsair Dominator Titanium RGB weiß DIMM Kit,64GB,298.6,DDR5,CL30-36-36-76
Crucial Pro Overclocking DIMM Kit,32GB,87.72,DDR5,CL36-38-38-80
Corsair Vengeance RGB schwarz DIMM Kit,32GB,120.91,DDR5,CL30-36-36-76
Kingston FURY Beast schwarz DIMM Kit,32GB,106.79,DDR5,CL30-36-36
G.Skill Trident Z5 NEO RGB schwarz DIMM Kit,32GB,122.9,DDR5,CL30-38-38-96
Kingston FURY Impact SO-DIMM Kit,64GB,155.78,DDR5,CL40-40-40
Kingston FURY Beast schwarz DIMM Kit,64GB,212.9,DDR5,CL30-36-36
Patriot Viper VENOM DIMM Kit,32GB,93.48,DDR5,CL30-40-40-76
Corsair Vengeance RGB grau DIMM Kit,32GB,120.91,DDR5,CL30-36-36-76
G.Skill Trident Z5 NEO RGB schwarz DIMM Kit,64GB,225.18,DDR5,CL30-40-40-96
Corsair Vengeance grau DIMM Kit,32GB,110.82,DDR5,CL30-36-36-76
Kingston FURY Renegade Pro RDIMM,32GB,178.34,DDR5,CL36-38-38
Kingston FURY Beast DIMM,16GB,31.16,DDR4,CL16-20-20
Kingston FURY Renegade RGB schwarz/silber DIMM Kit,32GB,138.72,DDR5,CL32-39-39
Kingston Server Premier DIMM,16GB,61.67,DDR4,CL22-22-22
Crucial SO-DIMM Kit,32GB,75.32,DDR5,CL46-45-45
G.Skill Flare X5 schwarz DIMM Kit,32GB,125.29,DDR5,CL28-36-36-96
Samsung DIMM,32GB,76.01,DDR4,CL22-22-22
Kingston FURY Renegade schwarz/silber DIMM Kit,32GB,210.09,DDR5,CL38-48-48
Crucial SO-DIMM Kit,96GB,190.88,DDR5,CL46-45-45
Kingston FURY Beast RGB schwarz DIMM Kit,32GB,125.51,DDR5,CL30-36-36
Kingston FURY Beast RGB weiß DIMM Kit,32GB,124.21,DDR5,CL30-36-36
G.Skill Aegis DIMM Kit,32GB,51.9,DDR4,CL16-18-18-38
Kingston FURY Impact SO-DIMM Kit,32GB,83.88,DDR5,CL40-40-40
Kingston Server Premier DIMM,32GB,139.49,DDR4,CL22-22-22
G.Skill Trident Z5 NEO RGB schwarz DIMM Kit,64GB,439.39,DDR5,CL26-36-36-96
Corsair Vengeance RGB schwarz DIMM Kit,64GB,248.01,DDR5,CL32-40-40-84
Kingston FURY Beast schwarz DIMM Kit,64GB,194.33,DDR5,CL36-38-38
Kingston FURY Beast RGB DIMM,16GB,45.23,DDR4,CL16-20-20
TeamGroup T-Create Expert schwarz DIMM Kit,32GB,99.05,DDR5,CL30-36-36-76
Corsair Dominator Titanium RGB weiß DIMM Kit,64GB,298.6,DDR5,CL30-36-36-76
Crucial Pro Overclocking DIMM Kit,32GB,87.72,DDR5,CL36-38-38-80
Corsair Vengeance RGB schwarz DIMM Kit,32GB,120.91,DDR5,CL30-36-36-76
Kingston FURY Beast schwarz DIMM Kit,32GB,106.79,DDR5,CL30-36-36
G.Skill Trident Z5 NEO RGB schwarz DIMM Kit,32GB,122.9,DDR5,CL30-38-38-96
Kingston FURY Impact SO-DIMM Kit,64GB,155.78,DDR5,CL40-40-40
Kingston FURY Beast schwarz DIMM Kit,64GB,212.9,DDR5,CL30-36-36
Patriot Viper VENOM DIMM Kit,32GB,93.48,DDR5,CL30-40-40-76
Corsair Vengeance RGB grau DIMM Kit,32GB,120.91,DDR5,CL30-36-36-76
G.Skill Trident Z5 NEO RGB schwarz DIMM Kit,64GB,225.18,DDR5,CL30-40-40-96
Corsair Vengeance grau DIMM Kit,32GB,110.82,DDR5,CL30-36-36-76
Kingston FURY Renegade Pro RDIMM,32GB,178.34,DDR5,CL36-38-38
Kingston FURY Beast DIMM,16GB,31.16,DDR4,CL16-20-20
Kingston FURY Renegade RGB schwarz/silber DIMM Kit,32GB,138.72,DDR5,CL32-39-39
Kingston Server Premier DIMM,16GB,61.67,DDR4,CL22-22-22
Crucial SO-DIMM Kit,32GB,75.32,DDR5,CL46-45-45
G.Skill Flare X5 schwarz DIMM Kit,32GB,125.29,DDR5,CL28-36-36-96
Samsung DIMM,32GB,76.01,DDR4,CL22-22-22
Kingston FURY Renegade schwarz/silber DIMM Kit,32GB,210.09,DDR5,CL38-48-48
Crucial SO-DIMM Kit,96GB,190.88,DDR5,CL46-45-45
Kingston FURY Beast RGB schwarz DIMM Kit,32GB,125.51,DDR5,CL30-36-36
Kingston FURY Beast RGB weiß DIMM Kit,32GB,124.21,DDR5,CL30-36-36
G.Skill Aegis DIMM Kit,32GB,51.9,DDR4,CL16-18-18-38
Kingston FURY Impact SO-DIMM Kit,32GB,83.88,DDR5,CL40-40-40
Kingston Server Premier DIMM,32GB,139.49,DDR4,CL22-22-22
G.Skill Trident Z5 NEO RGB schwarz DIMM Kit,64GB,439.39,DDR5,CL26-36-36-96
Corsair Vengeance RGB schwarz DIMM Kit,64GB,248.01,DDR5,CL32-40-40-84
Kingston FURY Beast schwarz DIMM Kit,64GB,194.33,DDR5,CL36-38-38
Kingston FURY Beast RGB DIMM,16GB,45.23,DDR4,CL16-20-20
TeamGroup T-Create Expert schwarz DIMM Kit,32GB,99.05,DDR5,CL30-36-36-76
Corsair Dominator Titanium RGB weiß DIMM Kit,64GB,298.6,DDR5,CL30-36-36-76
Crucial Pro Overclocking DIMM Kit,32GB,87.72,DDR5,CL36-38-38-80
Corsair Vengeance RGB schwarz DIMM Kit,32GB,120.91,DDR5,CL30-36-36-76
Kingston FURY Beast schwarz DIMM Kit,32GB,106.79,DDR5,CL30-36-36
G.Skill Trident Z5 NEO RGB schwarz DIMM Kit,32GB,122.9,DDR5,CL30-38-38-96
Kingston FURY Impact SO-DIMM Kit,64GB,155.78,DDR5,CL40-40-40
Kingston FURY Beast schwarz DIMM Kit,64GB,212.9,DDR5,CL30-36-36
Patriot Viper VENOM DIMM Kit,32GB,93.48,DDR5,CL30-40-40-76
Corsair Vengeance RGB grau DIMM Kit,32GB,120.91,DDR5,CL30-36-36-76
G.Skill Trident Z5 NEO RGB schwarz DIMM Kit,64GB,225.18,DDR5,CL30-40-40-96
Corsair Vengeance grau DIMM Kit,32GB,110.82,DDR5,CL30-36-36-76
Kingston FURY Renegade Pro RDIMM,32GB,178.34,DDR5,CL36-38-38
Kingston FURY Beast DIMM,16GB,31.16,DDR4,CL16-20-20
Kingston FURY Renegade RGB schwarz/silber DIMM Kit,32GB,138.72,DDR5,CL32-39-39
Kingston Server Premier DIMM,16GB,61.67,DDR4,CL22-22-22
Crucial SO-DIMM Kit,32GB,75.32,DDR5,CL46-45-45
G.Skill Flare X5 schwarz DIMM Kit,32GB,125.29,DDR5,CL28-36-36-96
Samsung DIMM,32GB,76.01,DDR4,CL22-22-22
Kingston FURY Renegade schwarz/silber DIMM Kit,32GB,210.09,DDR5,CL38-48-48
Crucial SO-DIMM Kit,96GB,190.88,DDR5,CL46-45-45
Kingston FURY Beast RGB schwarz DIMM Kit,32GB,125.51,DDR5,CL30-36-36
Kingston FURY Beast RGB weiß DIMM Kit,32GB,124.21,DDR5,CL30-36-36
G.Skill Aegis DIMM Kit,32GB,51.9,DDR4,CL16-18-18-38
Kingston FURY Impact SO-DIMM Kit,32GB,83.88,DDR5,CL40-40-40
Kingston Server Premier DIMM,32GB,139.49,DDR4,CL22-22-22
G.Skill Trident Z5 NEO RGB schwarz DIMM Kit,64GB,439.39,DDR5,CL26-36-36-96
Corsair Vengeance RGB schwarz DIMM Kit,64GB,248.01,DDR5,CL32-40-40-84
Kingston FURY Beast schwarz DIMM Kit,64GB,194.33,DDR5,CL36-38-38
Kingston FURY Beast RGB DIMM,16GB,45.23,DDR4,CL16-20-20
TeamGroup T-Create Expert schwarz DIMM Kit,32GB,99.05,DDR5,CL30-36-36-76
Corsair Dominator Titanium RGB weiß DIMM Kit,64GB,298.6,DDR5,CL30-36-36-76
Crucial Pro Overclocking DIMM Kit,32GB,87.72,DDR5,CL36-38-38-80
Corsair Vengeance RGB schwarz DIMM Kit,32GB,120.91,DDR5,CL30-36-36-76
Kingston FURY Beast schwarz DIMM Kit,32GB,106.79,DDR5,CL30-36-36
G.Skill Trident Z5 NEO RGB schwarz DIMM Kit,32GB,122.9,DDR5,CL30-38-38-96
Kingston FURY Impact SO-DIMM Kit,64GB,155.78,DDR5,CL40-40-40
Kingston FURY Beast schwarz DIMM Kit,64GB,212.9,DDR5,CL30-36-36
Patriot Viper VENOM DIMM Kit,32GB,93.48,DDR5,CL30-40-40-76
Corsair Vengeance RGB grau DIMM Kit,32GB,120.91,DDR5,CL30-36-36-76
G.Skill Trident Z5 NEO RGB schwarz DIMM Kit,64GB,225.18,DDR5,CL30-40-40-96
Corsair Vengeance grau DIMM Kit,32GB,110.82,DDR5,CL30-36-36-76
Kingston FURY Renegade Pro RDIMM,32GB,178.34,DDR5,CL36-38-38
Kingston FURY Beast DIMM,16GB,31.16,DDR4,CL16-20-20
Kingston FURY Renegade RGB schwarz/silber DIMM Kit,32GB,138.72,DDR5,CL32-39-39
Kingston Server Premier DIMM,16GB,61.67,DDR4,CL22-22-22
Crucial SO-DIMM Kit,32GB,75.32,DDR5,CL46-45-45
G.Skill Flare X5 schwarz DIMM Kit,32GB,125.29,DDR5,CL28-36-36-96
Samsung DIMM,32GB,76.01,DDR4,CL22-22-22
Kingston FURY Renegade schwarz/silber DIMM Kit,32GB,210.09,DDR5,CL38-48-48
Crucial SO-DIMM Kit,96GB,190.88,DDR5,CL46-45-45
Kingston FURY Beast RGB schwarz DIMM Kit,32GB,125.51,DDR5,CL30-36-36
Kingston FURY Beast RGB weiß DIMM Kit,32GB,124.21,DDR5,CL30-36-36
G.Skill Aegis DIMM Kit,32GB,51.9,DDR4,CL16-18-18-38
Kingston FURY Impact SO-DIMM Kit,32GB,83.88,DDR5,CL40-40-40
Kingston Server Premier DIMM,32GB,139.49,DDR4,CL22-22-22
G.Skill Trident Z5 NEO RGB schwarz DIMM Kit,64GB,439.39,DDR5,CL26-36-36-96
Corsair Vengeance RGB schwarz DIMM Kit,64GB,248.01,DDR5,CL32-40-40-84
Kingston FURY Beast schwarz DIMM Kit,64GB,194.33,DDR5,CL36-38-38
Kingston FURY Beast RGB DIMM,16GB,45.23,DDR4,CL16-20-20
TeamGroup T-Create Expert schwarz DIMM Kit,32GB,99.05,DDR5,CL30-36-36-76
Corsair Dominator Titanium RGB weiß DIMM Kit,64GB,298.6,DDR5,CL30-36-36-76
Crucial Pro Overclocking DIMM Kit,32GB,87.72,DDR5,CL36-38-38-80
Corsair Vengeance RGB schwarz DIMM Kit,32GB,120.91,DDR5,CL30-36-36-76
